,u,v,key,osmid,bearing,length,oneway,indexway,from,to,geometry
100,4965416748,272448124,0,153225684,246.2,73.509,FALSE,5163,4965416748,272448124,"LINESTRING (100.5910215 13.7130515, 100.5903989 13.7127847)"
101,272448124,1686126933,0,153225684,257,18.516,FALSE,5166,272448124,1686126933,"LINESTRING (100.5903989 13.7127847, 100.5902319 13.7127472)"
102,1686126933,272448125,0,153225684,260.2,22.452,FALSE,5167,1686126933,272448125,"LINESTRING (100.5902319 13.7127472, 100.5900271 13.7127128)"
103,272448125,272448126,0,153225684,265.7,47.147,FALSE,5169,272448125,272448126,"LINESTRING (100.5900271 13.7127128, 100.5895919 13.7126808)"
104,5072585722,5072585730,0,153225684,271.6,58.875,FALSE,5174,5072585722,5072585730,"LINESTRING (100.5895575 13.7126768, 100.5890127 13.7126914)"
105,5072585730,1686126935,0,153225684,272.4,286.68,FALSE,5178,5072585730,1686126935,"LINESTRING (100.5890127 13.7126914, 100.5863613 13.7128013)"
106,1686126935,2189041843,0,153225684,272.8,243.057,FALSE,5252,1686126935,2189041843,"LINESTRING (100.5863613 13.7128013, 100.584114 13.7129083)"
107,272448127,2189041844,0,153225684,272.9,33.498,FALSE,5182,272448127,2189041844,"LINESTRING (100.5840172 13.7129128, 100.5837075 13.7129279)"
108,272448127,2189041843,0,153225684,272.7,10.469,FALSE,5255,2189041843,272448127,"LINESTRING (100.584114 13.7129083, 100.5840172 13.7129128)"
109,272448127,567149061,0,44695864,27.7,21.203,FALSE,28983,567149061,272448127,"LINESTRING (100.5839259 13.712744, 100.5840172 13.7129128)"
110,2189041844,272448128,0,153225684,271.4,257.979,FALSE,5184,2189041844,272448128,"LINESTRING (100.5837075 13.7129279, 100.5813201 13.7129854)"
111,85703495,1686126942,0,153225686,93.1,243.665,FALSE,5185,85703495,1686126942,"LINESTRING (100.5841146 13.7130258, 100.586367 13.7129087)"
112,85703495,3948923063,0,300813736,92.3,56.144,FALSE,37643,3948923063,85703495,"LINESTRING (100.5835953 13.7130464, 100.5841146 13.7130258)"
113,272448128,272448130,0,153225684,277,38.442,FALSE,5188,272448128,272448130,"LINESTRING (100.5813201 13.7129854, 100.5809669 13.7130276)"
114,1686126942,1686126940,0,153225686,93,165.07,FALSE,5259,1686126942,1686126940,"LINESTRING (100.586367 13.7129087, 100.5878929 13.7128298)"
115,4965416689,3948923066,0,208631105,6.7,57.03,FALSE,5277,4965416689,3948923066,"LINESTRING (100.584121 13.7130789, 100.5841824 13.7135883)"
116,2189041843,4965416716,0,208631109,187.6,6.754,FALSE,5256,2189041843,4965416716,"LINESTRING (100.584114 13.7129083, 100.5841057 13.7128481)"
117,272448130,272448131,0,153225684,289.1,47.726,FALSE,5189,272448130,272448131,"LINESTRING (100.5809669 13.7130276, 100.5805494 13.713168)"
118,272448131,2496043704,0,153225684,294.1,316.322,FALSE,5190,272448131,2496043704,"LINESTRING (100.5805494 13.713168, 100.5778755 13.7143276)"
119,272448131,2961118777,0,319130516,1.3,15.349,TRUE,5198,2961118777,272448131,"LINESTRING (100.5805463 13.71303, 100.5805494 13.713168)"
120,2496043704,2496043708,0,153225684,294.1,85.068,FALSE,5193,2496043704,2496043708,"LINESTRING (100.5778755 13.7143276, 100.5771568 13.7146403)"
121,85703491,85703492,0,300813736,111.5,44.812,FALSE,5195,85703491,85703492,"LINESTRING (100.580565 13.713323, 100.580951 13.7131754)"
122,85703491,2496043705,0,300813736,114.3,309.124,FALSE,5203,2496043705,85703491,"LINESTRING (100.577956 13.714465, 100.580565 13.713323)"
123,85703491,3948923070,0,61232396,181,53.948,FALSE,46265,3948923070,85703491,"LINESTRING (100.5805733 13.7138081, 100.580565 13.713323)"
124,2961118777,3255390871,0,319130516,0,57.81,TRUE,36721,3255390871,2961118777,"LINESTRING (100.5805459 13.7125101, 100.5805463 13.71303)"
125,2496043708,2496043709,0,153225684,294.1,25.067,FALSE,5200,2496043708,2496043709,"LINESTRING (100.5771568 13.7146403, 100.576945 13.7147324)"
126,2496043705,4552160452,0,300813736,114.9,8.921,FALSE,10234,4552160452,2496043705,"LINESTRING (100.5778811 13.7144988, 100.577956 13.714465)"
127,3255390871,3390619386,0,319130516,2.5,39.668,TRUE,36715,3390619386,3255390871,"LINESTRING (100.5805299 13.7121537, 100.5805459 13.7125101)"
128,2496043709,272448132,0,153225684,294.1,109.984,FALSE,5268,2496043709,272448132,"LINESTRING (100.576945 13.7147324, 100.5760158 13.7151367)"
129,272448132,6427109881,0,153225684,292.9,218.698,FALSE,5204,272448132,6427109881,"LINESTRING (100.5760158 13.7151367, 100.574151 13.7159024)"
130,6427109881,4552151235,0,153225684,292.9,34.527,FALSE,5205,6427109881,4552151235,"LINESTRING (100.574151 13.7159024, 100.5738566 13.7160233)"
131,4552151235,1800206471,0,153225684,292.9,115.963,FALSE,5207,4552151235,1800206471,"LINESTRING (100.5738566 13.7160233, 100.5728678 13.7164293)"
132,6427109882,85703490,0,300813736,112.5,227.672,FALSE,5208,6427109882,85703490,"LINESTRING (100.5742081 13.7160328, 100.5761549 13.7152484)"
133,6427109882,765319547,0,300813736,112.5,157.876,FALSE,10296,765319547,6427109882,"LINESTRING (100.5728578 13.716576, 100.5742081 13.7160328)"
134,1800206471,5804465636,0,153225684,294.6,83.718,FALSE,5263,1800206471,5804465636,"LINESTRING (100.5728678 13.7164293, 100.5721629 13.7167422)"
135,85703490,765319721,0,300813736,113.1,9.558,FALSE,37634,85703490,765319721,"LINESTRING (100.5761549 13.7152484, 100.5762363 13.7152147)"
136,272448133,5804465643,0,153225684,294.6,104.711,FALSE,5210,272448133,5804465643,"LINESTRING (100.5720588 13.7167973, 100.5711774 13.7171892)"
